id,separation_type,cease_date,employment_status,career_move_to_public_sector,career_move_to_private_sector,interpersonal_conflicts,job_dissatisfaction,maternity_family,ill_health,gender,age,length_of_service,dataset
274,Resignation,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
275,Resignation,2013.0,Temporary Part-time,False,True,False,False,False,False,Female,36-40,1-2,dete
276,Other,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,11-20,dete
277,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
278,Retirement,2012.0,Permanent Part-time,False,False,False,True,False,False,Female,56 or older,11-20,dete
279,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,31-35,3-4,dete
280,Resignation,2012.0,Permanent Part-time,False,False,True,False,False,True,Female,56 or older,11-20,dete
281,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,11-20,dete
282,Retirement,2013.0,Permanent Full-time,False,False,True,True,False,False,Female,51-55,More than 20 years,dete
283,Retirement,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,7-10,dete
284,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,26-30,5-6,dete
285,Resignation,2012.0,Permanent Full-time,False,True,False,False,False,False,Female,31-35,5-6,dete
287,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Female,36-40,Less than 1 year,dete
288,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,7-10,dete
290,Retirement,2012.0,Permanent Part-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
291,Retirement,2013.0,Permanent Part-time,False,False,False,False,False,False,Male,56 or older,11-20,dete
295,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,56 or older,More than 20 years,dete
296,Resignation,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,51-55,More than 20 years,dete
297,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Male,41-45,5-6,dete
298,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,11-20,dete
299,Other,2013.0,Permanent Full-time,False,False,False,False,False,True,Female,21-25,1-2,dete
300,Retirement,2012.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
301,Resignation,2012.0,Permanent Part-time,False,True,False,False,False,False,Female,51-55,11-20,dete
303,Retirement,2013.0,Permanent Full-time,False,False,False,False,False,False,Female,56 or older,More than 20 years,dete
304,Resignation,2012.0,Permanent Part-time,False,False,False,True,False,False,Male,51-55,7-10,dete
305,Resignation,2013.0,Permanent Full-time,False,False,False,False,False,False,Male,46-50,3-4,dete
306,Contract Expired,2012.0,Temporary Full-time,False,False,False,False,False,False,Male,41-45,1-2,dete
307,Contract Expired,2012.0,Contract/casual,False,False,False,False,False,False,Male,21-25,1-2,dete
